chung_wbm_vector18hpi_a	chung_wbm_vector18hpi_b	chung_wbm_vector4dpi_a	chung_wbm_vector4dpi_b	chung_wbm_vector8dpi_a	chung_wbm_vector8dpi_b	chung_wbm_mammal1dpi_a	chung_wbm_mammal1dpi_b	chung_wbm_mammal2dpi_a	chung_wbm_mammal2dpi_b	chung_wbm_mammal3dpi_a	chung_wbm_mammal3dpi_b	chung_wbm_mammal4dpi_a	chung_wbm_mammal4dpi_b	chung_wbm_mammal8dpi_a	chung_wbm_mammal8dpi_b	chung_wbm_mammal20dpi_immaturemale_a	chung_wbm_mammal20dpi_immaturemale_b	chung_wbm_mammal24dpi_immaturefemale_a	chung_wbm_mammal24dpi_immaturefemale_b	chung_wbm_adultmale_a	chung_wbm_adultmale_b	chung_wbm_adultfemale_a	chung_wbm_adultfemale_b	chung_wbm_adultfemale_c	chung_wbm_adultfemale_d	chung_wbm_embryo_a	chung_wbm_embryo_b	chung_wbm_immatureMF_a	chung_wbm_immatureMF_b	chung_wbm_matureMF_a	chung_wbm_matureMF_b
cds19	5.5	56.01	58.16	106	222.4	388.1	26.1	11.83	1	24.83	18.37	5.2	12.19	19.59	17.85	31.47	9	7.94	1743.58	10.88	0	2	1770.6	1	1.42	1065.18	0	0	6	2.93	2	3.7
cds190	1256.3	781.79	420.24	1161.41	3693.22	5926.5	475.01	390.11	127.06	385.05	202.94	261.22	259.74	230.32	467.73	366.29	168.3	124.66	55512.51	311.36	17.51	30.3	20099.82	12.38	12.88	25348.2	14.08	29.45	122.49	63.23	81.02	88.2
cds191	1272.33	577.81	307.82	1044.18	3464.91	4565.53	371.84	268.65	118.04	312.38	216.23	240.84	198.37	255.76	536.16	387.18	158.95	127.95	40559.23	309.77	32.93	52.7	19891.61	7.93	10.2	24286.2	14.17	24.93	90.32	60.11	66.29	87.35
cds192	636.3	1040.31	245.17	832.72	3463.87	4056.82	131.57	70.9	40.81	102.19	104.46	112.69	101.28	91.21	230.66	211.53	136.99	74.47	8864.17	190.07	54.56	81.39	8843.92	27.33	20.24	12867.15	9	8	47.56	32.97	29.08	37.17
cds194	0	0	0	0	7.23	0	0.21	1.32	0.92	0.71	1.47	0.45	3	0	5.43	2.67	0.8	1.16	148.59	0	0	0	379.51	0.25	1.28	125.71	0.34	0	1.19	1	0	0.7
cds195	1.42	2.94	4.31	0	68.17	78.84	12.42	5.02	0.41	9.21	7.4	7.68	5.18	4.72	22.45	8.59	2.37	0.9	842.7	15.81	3.95	3.6	1162.61	1.82	0.87	829.51	0	0.92	2.16	6.37	2.08	2.4
cds196	1907.5	1967.36	599.24	1732.42	7145.06	9172.29	171.4	107.9	96.6	157.29	365.86	401.05	523.16	485.82	1147.42	785.58	333.56	216.72	97652.1	625	58.11	136.59	40043.08	16.34	33.83	52091.29	25.78	37.97	72.65	130.31	44.67	209.24
cds197	9.5	244.79	144.43	511.46	1326.55	1903.36	32.33	16.6	22.62	19.86	23.27	26.4	30.34	38.35	115.61	91.65	40.44	17.14	11047.4	70.64	0	14.29	5245.98	1	5.8	6892.63	6	4.45	23.96	16.46	12.84	9.07
cds198	6.63	81.97	108	262.18	771.26	850.12	26.75	27.43	4.47	11.52	32.03	48.11	23.41	25.34	82.86	80.23	22.02	16.72	4434.67	31.93	2.5	8.37	3280.1	1	3.25	2887.21	0	2	13.64	15.35	11.71	7.23
cds199	1	0.59	0.58	46.27	93	208.46	9.96	1.39	1.04	7.59	3	8.95	9.24	3	11.32	12.01	3.64	5.63	1600.2	12.21	0	1.87	1009	0.93	1	1009.25	0	0	5.38	1.71	5.14	2.48
cds20	169	485.44	102.19	319.08	1429.63	1518.56	73.69	44.61	13.93	51.55	35.79	39	32.16	32.56	100.71	89	15	13	4814	41.2	3	6	2998.23	1	3	3269.14	1.5	1	15.42	5.98	10.5	15.63
cds200	1.01	0.49	0.8	0	33.01	33.14	3.35	3.78	1.88	0.96	0.74	3.4	0.17	0	0	3.05	0	2.35	422.6	0.94	0	0	349.43	0.21	0	467.44	0	0	2.6	0.12	1.97	0.21
cds201	262.56	5.44	5.55	126.17	372.78	449.66	18.97	11.4	5.32	17.29	7.3	12.96	9	17.87	23.47	27.34	11.29	6.78	5767.5	23.25	5.94	1.55	2818.52	1.39	0	2986.46	1.59	0	13.33	12.4	15.1	6.52
cds202	0.08	2.37	2.69	2.98	237.25	122.55	14.98	15.58	4.71	19.08	9.2	9.21	13.43	13.22	14.11	27.59	8.92	4.14	1732.06	7.7	0	4.13	1444.31	2.69	0.87	1122.34	2	0.55	4.45	5.16	2.53	2.75
