luck_wdi_adultfemale_bodywall_a	luck_wdi_adultfemale_bodywall_b	luck_wdi_adultfemale_head_a	luck_wdi_adultfemale_head_b	luck_wdi_adultfemale_intestine_a	luck_wdi_adultfemale_intestine_b	luck_wdi_adultfemale_uterus_a	luck_wdi_adultfemale_uterus_b	luck_wdi_adultmale_bodywall_a	luck_wdi_adultmale_bodywall_b	luck_wdi_adultmale_intestine_a	luck_wdi_adultmale_testis_a
fig|82301.12.peg.318	2.81	0.5	0	0	0	0	0	0.5	1	2	0	0
fig|82301.12.peg.319	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.32	0	0	0	0	0	0	0	0	0.5	0	0	0
fig|82301.12.peg.320	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.321	0	0	0	0.5	0	0	0	0	0	0	0	0
fig|82301.12.peg.322	0	0	0	0.5	0	0	0	0.5	0.5	0.5	0	0
fig|82301.12.peg.323	1.5	0	1	0	0	0	0	0	1	0.5	0	0
fig|82301.12.peg.324	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.325	0	0	0	0	0	0	0	0	0	0.5	0	0
fig|82301.12.peg.326	0	0.5	0	0	0	0	0	0	0	1	0	0
fig|82301.12.peg.327	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.328	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.329	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.33	0	0	0.5	0	0	0	0	0	2	0.5	0	0
fig|82301.12.peg.330	0.49	0	0	0	0	0	0	0	2.5	1	0	0
fig|82301.12.peg.331	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.332	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.333	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.334	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.335	0	0	0.5	0.51	0	0	0	0	1	0	0	0
fig|82301.12.peg.336	1	0.5	1	0	0	0	0	0	4	2	0	0
fig|82301.12.peg.337	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.338	0	0	0	0	0	0	0	0	0.5	0.5	0	0
fig|82301.12.peg.339	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.34	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.340	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.341	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.342	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.343	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.344	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.345	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.346	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.347	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.348	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.349	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.35	0	0	0.45	0	0	0	0	0	0.55	0.5	0	0
fig|82301.12.peg.350	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.351	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.352	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.353	0	0	1	0	0	0	0.5	0	0	0.5	0	0
fig|82301.12.peg.354	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.355	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.356	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.357	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.358	0	0	0	0	0	0	0	0	0	1	0	0
fig|82301.12.peg.359	1.5	0.5	0	0.5	0	0	0	0.5	2	0.5	0	0
fig|82301.12.peg.36	0	0	0	0	0	0	0	0	0	0	0	0
